[2025-12-25T12:57:56.929+0000][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:57:56.931+0000][gc,task     ] GC(3) Using 8 workers of 8 for evacuation
[2025-12-25T12:57:57.047+0000][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 6.9ms
[2025-12-25T12:57:57.047+0000][gc,phases   ] GC(3)   Merge Heap Roots: 0.5ms
[2025-12-25T12:57:57.047+0000][gc,phases   ] GC(3)   Evacuate Collection Set: 106.6ms
[2025-12-25T12:57:57.048+0000][gc,phases   ] GC(3)   Post Evacuate Collection Set: 1.7ms
[2025-12-25T12:57:57.048+0000][gc,phases   ] GC(3)   Other: 0.7ms
[2025-12-25T12:57:57.048+0000][gc,heap     ] GC(3) Eden regions: 102->0(165)
[2025-12-25T12:57:57.048+0000][gc,heap     ] GC(3) Survivor regions: 3->5(14)
[2025-12-25T12:57:57.048+0000][gc,heap     ] GC(3) Old regions: 14->14
[2025-12-25T12:57:57.048+0000][gc,heap     ] GC(3) Humongous regions: 11->11
[2025-12-25T12:57:57.048+0000][gc,metaspace] GC(3) Metaspace: 8724K(9024K)->8724K(9024K) NonClass: 7750K(7872K)->7750K(7872K) Class: 973K(1152K)->973K(1152K)
[2025-12-25T12:57:57.049+0000][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 129M->28M(1024M) 119.928ms
[2025-12-25T12:57:57.049+0000][gc,cpu      ] GC(3) User=0.18s Sys=0.11s Real=0.12s
[2025-12-25T12:58:16.460+0000][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:58:16.461+0000][gc,task     ] GC(4) Using 8 workers of 8 for evacuation
[2025-12-25T12:58:16.494+0000][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 1.3ms
[2025-12-25T12:58:16.494+0000][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[2025-12-25T12:58:16.494+0000][gc,phases   ] GC(4)   Evacuate Collection Set: 29.4ms
[2025-12-25T12:58:16.494+0000][gc,phases   ] GC(4)   Post Evacuate Collection Set: 1.6ms
[2025-12-25T12:58:16.494+0000][gc,phases   ] GC(4)   Other: 0.3ms
[2025-12-25T12:58:16.494+0000][gc,heap     ] GC(4) Eden regions: 175->0(353)
[2025-12-25T12:58:16.494+0000][gc,heap     ] GC(4) Survivor regions: 5->5(23)
[2025-12-25T12:58:16.494+0000][gc,heap     ] GC(4) Old regions: 14->14
[2025-12-25T12:58:16.495+0000][gc,heap     ] GC(4) Humongous regions: 11->11
[2025-12-25T12:58:16.495+0000][gc,metaspace] GC(4) Metaspace: 9203K(9536K)->9203K(9536K) NonClass: 8227K(8384K)->8227K(8384K) Class: 975K(1152K)->975K(1152K)
[2025-12-25T12:58:16.495+0000][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 203M->28M(1024M) 34.581ms
[2025-12-25T12:58:16.495+0000][gc,cpu      ] GC(4) User=0.06s Sys=0.07s Real=0.04s
[2025-12-25T12:58:46.774+0000][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:58:46.774+0000][gc,task     ] GC(5) Using 8 workers of 8 for evacuation
[2025-12-25T12:58:46.831+0000][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 1.8ms
[2025-12-25T12:58:46.831+0000][gc,phases   ] GC(5)   Merge Heap Roots: 0.3ms
[2025-12-25T12:58:46.831+0000][gc,phases   ] GC(5)   Evacuate Collection Set: 52.9ms
[2025-12-25T12:58:46.831+0000][gc,phases   ] GC(5)   Post Evacuate Collection Set: 1.4ms
[2025-12-25T12:58:46.832+0000][gc,phases   ] GC(5)   Other: 0.3ms
[2025-12-25T12:58:46.832+0000][gc,heap     ] GC(5) Eden regions: 362->0(608)
[2025-12-25T12:58:46.832+0000][gc,heap     ] GC(5) Survivor regions: 5->6(46)
[2025-12-25T12:58:46.832+0000][gc,heap     ] GC(5) Old regions: 14->14
[2025-12-25T12:58:46.832+0000][gc,heap     ] GC(5) Humongous regions: 11->11
[2025-12-25T12:58:46.832+0000][gc,metaspace] GC(5) Metaspace: 9640K(9984K)->9640K(9984K) NonClass: 8656K(8832K)->8656K(8832K) Class: 984K(1152K)->984K(1152K)
[2025-12-25T12:58:46.832+0000][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 390M->29M(1024M) 58.571ms
[2025-12-25T12:58:46.832+0000][gc,cpu      ] GC(5) User=0.09s Sys=0.17s Real=0.05s
[2025-12-25T12:59:36.938+0000][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:59:36.947+0000][gc,task     ] GC(6) Using 8 workers of 8 for evacuation
[2025-12-25T12:59:36.988+0000][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 3.4ms
[2025-12-25T12:59:36.989+0000][gc,phases   ] GC(6)   Merge Heap Roots: 0.5ms
[2025-12-25T12:59:36.989+0000][gc,phases   ] GC(6)   Evacuate Collection Set: 30.9ms
[2025-12-25T12:59:36.989+0000][gc,phases   ] GC(6)   Post Evacuate Collection Set: 4.3ms
[2025-12-25T12:59:36.990+0000][gc,phases   ] GC(6)   Other: 1.8ms
[2025-12-25T12:59:36.990+0000][gc,heap     ] GC(6) Eden regions: 608->0(607)
[2025-12-25T12:59:36.990+0000][gc,heap     ] GC(6) Survivor regions: 6->7(77)
[2025-12-25T12:59:36.990+0000][gc,heap     ] GC(6) Old regions: 14->14
[2025-12-25T12:59:36.990+0000][gc,heap     ] GC(6) Humongous regions: 11->11
[2025-12-25T12:59:36.991+0000][gc,metaspace] GC(6) Metaspace: 9895K(10240K)->9895K(10240K) NonClass: 8907K(9088K)->8907K(9088K) Class: 988K(1152K)->988K(1152K)
[2025-12-25T12:59:36.992+0000][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 637M->30M(1024M) 53.181ms
[2025-12-25T12:59:36.992+0000][gc,cpu      ] GC(6) User=0.12s Sys=0.03s Real=0.05s
[2025-12-25T13:11:40.762+0000][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T13:11:40.763+0000][gc,task     ] GC(7) Using 8 workers of 8 for evacuation
[2025-12-25T13:11:40.780+0000][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 2.2ms
[2025-12-25T13:11:40.780+0000][gc,phases   ] GC(7)   Merge Heap Roots: 0.3ms
[2025-12-25T13:11:40.780+0000][gc,phases   ] GC(7)   Evacuate Collection Set: 12.2ms
[2025-12-25T13:11:40.780+0000][gc,phases   ] GC(7)   Post Evacuate Collection Set: 1.6ms
[2025-12-25T13:11:40.780+0000][gc,phases   ] GC(7)   Other: 0.2ms
[2025-12-25T13:11:40.780+0000][gc,heap     ] GC(7) Eden regions: 607->0(608)
[2025-12-25T13:11:40.780+0000][gc,heap     ] GC(7) Survivor regions: 7->6(77)
[2025-12-25T13:11:40.780+0000][gc,heap     ] GC(7) Old regions: 14->14
[2025-12-25T13:11:40.780+0000][gc,heap     ] GC(7) Humongous regions: 11->2
[2025-12-25T13:11:40.780+0000][gc,metaspace] GC(7) Metaspace: 10260K(10688K)->10260K(10688K) NonClass: 9252K(9472K)->9252K(9472K) Class: 1008K(1216K)->1008K(1216K)
[2025-12-25T13:11:40.780+0000][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 637M->21M(1024M) 18.297ms
[2025-12-25T13:11:40.780+0000][gc,cpu      ] GC(7) User=0.11s Sys=0.00s Real=0.02s
[2025-12-25T13:12:30.950+0000][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T13:12:30.951+0000][gc,task     ] GC(8) Using 8 workers of 8 for evacuation
