[2025-12-25T12:57:49.183+0000][gc,cpu      ] GC(2) User=0.04s Sys=0.01s Real=0.08s
[2025-12-25T12:57:49.781+0000][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:57:49.781+0000][gc,task     ] GC(3) Using 8 workers of 8 for evacuation
[2025-12-25T12:57:49.795+0000][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 1.1ms
[2025-12-25T12:57:49.796+0000][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[2025-12-25T12:57:49.796+0000][gc,phases   ] GC(3)   Evacuate Collection Set: 11.6ms
[2025-12-25T12:57:49.796+0000][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.6ms
[2025-12-25T12:57:49.796+0000][gc,phases   ] GC(3)   Other: 0.6ms
[2025-12-25T12:57:49.797+0000][gc,heap     ] GC(3) Eden regions: 47->0(87)
[2025-12-25T12:57:49.797+0000][gc,heap     ] GC(3) Survivor regions: 4->2(7)
[2025-12-25T12:57:49.797+0000][gc,heap     ] GC(3) Old regions: 15->18
[2025-12-25T12:57:49.797+0000][gc,heap     ] GC(3) Humongous regions: 131->131
[2025-12-25T12:57:49.797+0000][gc,metaspace] GC(3) Metaspace: 7477K(7808K)->7477K(7808K) NonClass: 6526K(6720K)->6526K(6720K) Class: 950K(1088K)->950K(1088K)
[2025-12-25T12:57:49.797+0000][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 196M->150M(1024M) 15.985ms
[2025-12-25T12:57:49.798+0000][gc,cpu      ] GC(3) User=0.02s Sys=0.00s Real=0.02s
[2025-12-25T12:57:57.545+0000][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:57:57.546+0000][gc,task     ] GC(4) Using 8 workers of 8 for evacuation
[2025-12-25T12:57:57.602+0000][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 10.9ms
[2025-12-25T12:57:57.603+0000][gc,phases   ] GC(4)   Merge Heap Roots: 0.9ms
[2025-12-25T12:57:57.603+0000][gc,phases   ] GC(4)   Evacuate Collection Set: 38.5ms
[2025-12-25T12:57:57.603+0000][gc,phases   ] GC(4)   Post Evacuate Collection Set: 4.1ms
[2025-12-25T12:57:57.604+0000][gc,phases   ] GC(4)   Other: 1.4ms
[2025-12-25T12:57:57.605+0000][gc,heap     ] GC(4) Eden regions: 88->0(233)
[2025-12-25T12:57:57.606+0000][gc,heap     ] GC(4) Survivor regions: 2->6(12)
[2025-12-25T12:57:57.606+0000][gc,heap     ] GC(4) Old regions: 18->18
[2025-12-25T12:57:57.606+0000][gc,heap     ] GC(4) Humongous regions: 131->131
[2025-12-25T12:57:57.606+0000][gc,metaspace] GC(4) Metaspace: 9992K(10240K)->9992K(10240K) NonClass: 8642K(8768K)->8642K(8768K) Class: 1350K(1472K)->1350K(1472K)
[2025-12-25T12:57:57.606+0000][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 238M->154M(1024M) 61.462ms
[2025-12-25T12:57:57.607+0000][gc,cpu      ] GC(4) User=0.09s Sys=0.03s Real=0.06s
[2025-12-25T12:58:08.113+0000][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:58:08.113+0000][gc,task     ] GC(5) Using 8 workers of 8 for evacuation
[2025-12-25T12:58:08.160+0000][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 3.0ms
[2025-12-25T12:58:08.161+0000][gc,phases   ] GC(5)   Merge Heap Roots: 0.2ms
[2025-12-25T12:58:08.161+0000][gc,phases   ] GC(5)   Evacuate Collection Set: 38.4ms
[2025-12-25T12:58:08.161+0000][gc,phases   ] GC(5)   Post Evacuate Collection Set: 5.0ms
[2025-12-25T12:58:08.162+0000][gc,phases   ] GC(5)   Other: 0.4ms
[2025-12-25T12:58:08.163+0000][gc,heap     ] GC(5) Eden regions: 231->0(357)
[2025-12-25T12:58:08.164+0000][gc,heap     ] GC(5) Survivor regions: 6->8(30)
[2025-12-25T12:58:08.164+0000][gc,heap     ] GC(5) Old regions: 18->18
[2025-12-25T12:58:08.165+0000][gc,heap     ] GC(5) Humongous regions: 131->131
[2025-12-25T12:58:08.165+0000][gc,metaspace] GC(5) Metaspace: 11630K(11904K)->11630K(11904K) NonClass: 10084K(10240K)->10084K(10240K) Class: 1546K(1664K)->1546K(1664K)
[2025-12-25T12:58:08.165+0000][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 385M->156M(1024M) 52.385ms
[2025-12-25T12:58:08.165+0000][gc,cpu      ] GC(5) User=0.07s Sys=0.01s Real=0.06s
[2025-12-25T12:58:27.803+0000][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2025-12-25T12:58:27.804+0000][gc,task     ] GC(6) Using 8 workers of 8 for evacuation
[2025-12-25T12:58:27.842+0000][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 1.8ms
